Document,Topic_group
issues with the flow for issues with flow for hello having issues with approval flow for change add approvers task get created instead approval tasks were created for members added task for customer but cannot activate add approvers task by closing task approval gets sent customer tried rejecting change submitting back for approval but solve issues would you be able assist with possible change scheduled for today need obtain approval beforehand thank you manager,Miscellaneous
laptop issues laptop issues hello ticket because laptop was starting morning reaction whatsoever seemed be hardware problem thanks for their thanks regards analyst extension,Hardware
folder permissions on one folder permissions one hello please restrict access following folder including sub folders files testing discipline forms testing discipline view db ribbon only following list testing strategic leadership please treat high priority exposes sensitive information wider public than intended kind regards agile manager,Storage
lost badge lost badge hi unfortunately lost badge have advised send could you please help with let manager know about thanks developer en,Access
cannot approve cannot approve hi guys getting these errors when trying approve details attached for can you check please meantime tried approving by got through or but worth mentioning thanks,Miscellaneous
requisition rejected requisition rejected si instant va blvd th floor district sent wednesday december requisition rejected access task application requisition rejected details assignee assigned date expiration date task number requisitioning entered by requisition amount approximately nonrecoverable tax approximately approval amount approximately description colorful cultures workshop for person discipline justification recommended actions requisition requisition lines view requisition details for complete list requisition lines including previously approved lines view requisition details for complete list lines following table shows lines requisition view requisition for more details line item description suggested supplier requester cost center quantity price amount parent line status colorful cultures workshop for person discipline consult rejected view requisition details view document history comments data display attachments data display history updated by action performed assignee updated assigned completed,Miscellaneous
error approving error approving hi getting some errors while approving can you please check thanks,Miscellaneous
lost access card lost access card dear have lost access card could you please deactivate former card help obtain one thank you kind regards sox controls manager,Access
error oracle hi trying if approved but getting error could you please help thanks sent tuesday december importance high hello troops va pus etc la device defect sa programme officer,HR Support
oracle error unable to approve error unable approve hello cannot approve below due error thanks manager head users library containers data library caches signatures signature,Miscellaneous
laptop fan issue laptop fan issue hi please be advised fan starts randomly goes full blast for few seconds then stops process repeats itself since morning really noisy annoying could you please assist number en thanks kind regards tester en,Hardware
mailbox full mailbox full hello could you please help with below issue personal mailbox full thank you accounts payable accountant phone,Storage
critical alert sent wednesday december critical alert following alert occurred status active description tape failed failed perform operation since tape free tape available tape library based for more information open administrator console review alert details monitoring task area,HR Support
oracle bug bug hi have entering some had clicked save add another instead expense item form appearing appeared sorry massive screen looks like result some kind bug anyway suggest you forward relevant maybe can work out what caused appear oh seems expense item was trying save had enter again scratch kind regards information compliance officer,HR Support
cannot call using the number cannot call using number hi sd since week cannot call external conference number worked until but appears calling then connecting then disconnects conference call number worked for before last week have noticed st have issue second happens if someone drags call can join but by dialing directly tried with active without work but did work wither cases program manager upcoming leave,Hardware
can log into oracle can log into trying log into keep getting error director mob fixed your zone,Hardware
certificate error meeting certificate error meeting hi getting certificate error again meetings would be possible investigate thank you best manager,Hardware
can you please help with oracle error can you please help with error hi can you please check why getting below error when trying add generic for code thanks,HR Support
timecard error there error submission entries please contact your administrator hello received below message regarding submission november checked have mentioned approved could please advise what should case thank you officer ext address blvd sent tuesday december there error submission entries please contact your administrator access task application,HR Support
tools people section tools section hi colleagues have appears section members tab tools still have had past can you provide fix for list have currently please verify if you encounter similar issue best regards,Hardware
file for file for hi could you please provide with file for have software installed but cannot file br,Hardware
for upload to for upload hi trying upload contracts there error upload failed please contact administrator thanks officer sent tuesday december re for upload hi haven tried today but perhaps contact should be able fix immediately best sent december re for upload hi trying upload but get error failed upload contact administrator can you upload anything officer sent tuesday december for upload hi promised attached updated for upload thanks technical programme manager id canary,Hardware
wrong caller name for wrong caller name for hello please log ticket was called by but caller looks be someone cheers application engineer,Hardware
cannot approve approve requisition hello still cannot approve by can you please help with thanks sent tuesday december approve requisition human your response notification was processed application act pending tasks could process your response response message original notification had sent actionable should be responded same had sent message was automatically generated by human,Miscellaneous
maintain absence records issue oracle maintain absence records issue hello seems calculate correctly remained balance days days starting with have submitted annual leave request was calculated forecast balance per next year but remained balance colleagues have same issue could you please investigate resolve problem looking forward your help engineer,HR Support
for issues re notification for meeting certificate errors for external clients resolved contact appear hi know if information sent we had change our external edge servers below information how was configured before what changed information be useful for manage for organization because need change their configuration add our addresses records enable federation please forward information them here records changes we did before we had configuration sip location priority weight port access sip location priority weight port access location priority weight port access location priority weight port access public old edge server was access access access access we had migration edge servers edge servers we changed our external records external certificates public edge servers external records pointing sip sip location priority weight port sip location priority weight port sip here list public sip sip sip sip we removed public certificates we have records instead access access sip pointing same public you can use either sip for federation or if you want point directly romanian site you can use please check if you have some rules defined your allow access addresses our edge servers best regards,Hardware
electrical issue rd floor electrical issue rd floor hello due incident water extension cord we able use electrical source rd floor line next meeting room there number couple sources down or can you please take look thanks kind regards consultant mob,Hardware
laptop problems laptop problems hello yesterday had some problems with laptop resolved them had data replace install thank you have senior software developer,Hardware
password change issues password change issues dear after changing active directory password have continuous issues with connection for application continuously get connection failed error mobile or enter credentials or connection error then connect sync expected please advise although blocker quite annoying get error over over again after password update kind regards,Access
problem with add annual leave problem with add annual leave good have some problem with add annual leave you can problem image,HR Support
timecard timed out timecard again timed out dear colleagues close getting nuts again timecard coming up with error message could you help again thanks frankfurt main frankfurt main,HR Support
laptop issues laptop issues dear increasingly experiencing some issues with laptop battery lock being somehow broken leading sudden loss during work including loosing data graphical effects with changing colour display instead somehow yellow blinking between these two colours side effect sometimes attached displays properly work anymore with again changing colours making hard there option repair these issues thanks for your head insights through data frankfurt main frankfurt main,Hardware
missing user hi guys can you please import thank you kind regards administrator,Access
access control issue all doors are open access control issue doors open hello we noticed doors open require card be swiped please treat incident with very high priority thank you engineer ext en,Access
oracle issue issue hello for november have issue with unable submit save hours for weeks can you please take look weeks start th th thanks lot,HR Support
dial issues for external users dial issues for external users hi have had issue where clients were unable dial into calls then had use test number or alternative country were unable use number there any current issues regards client manager,Hardware
no access to storage access dear please help with issue need access but can thank you manager en,Storage
poll status down poll status down poll output packets transmitted received packet loss,Miscellaneous
time card issue sent snipping tool hi we have issue with timecard for week entered his then tried make change got some errors saying certain lines have be filled when tries allowed can anything with timecard blocked ask you solve issue thank you manager sent tuesday december sent snipping tool,HR Support
for is not connecting calls externally for connecting calls externally director mob fixed your zone,Hardware
oracle issue issue hi trying submit sheet for period but after pending for following message displayed happens chrome how should proceed thank you tester mob en your zone please refer section our for list entities,HR Support
not able to submit time for last week able submit for last week hello able submit for last week th you below error attach reminder can you please check thank you engineer managed phone,HR Support
oracle time card error card error hello dear have issue with able log card for date range could you please remove row guess help thanks best regards,Access
submission problem submission problem hello having problems submitting for last week freezes sometime later provides error regardless flow trying use submit please advise thank you best regards,HR Support
windows stuck mode issue stuck mode issue hi after upgrading experiencing issue when computer enters standby mode able wake up unless restart laptop already tried fix described article below though worked couple times happened again today very annoying given happened lose unsaved changes impacts work can you please advise wake up mode thanks manager,Hardware
urgent a file from back up needed urgent file back up needed hi we have urgent matter over righted file november location month end close closing accruals back up files with our file if understood right done every was wondering if possible extract file last can you help please open ticket after you tell possible regards,Hardware
annual leave annual leave hi guys by mistake have deleted withdrawal approved annual leave for could you please let know if you can amend or what process would also want vacation days for th th but cannot submit request please below by mistake again submitted request for th th but deleted please log ticket if needed kind regards desktop engineer,HR Support
oracle issue issue hello have issue regarding entries for period have annual leave have public holiday can insert them because error could you please help best regards,HR Support
time sheet investigation sheet hi had for submitting sheet for week submitted around monday morning get message back saying submitted would mean submitted sheets magical what seems go back morning vanished brilliant makes you think you submitted your sheets when you haven least get get fun entering submitting sheets twice thanks,HR Support
expense report approval expense report approval hi have expense report approval for some there problem approval process line manager cannot we find way for approving we need approval possible since we cannot go with client for thanks,Miscellaneous
missing from hello colleagues one members members tool can you please make necessary changes have him regards test consultant,Miscellaneous
oracle line management change flow issues line change flow issues hi can you please help with below line change flow issues we get same issue for two similar line requests for thank you senior manager,Miscellaneous
field exceeds the maximum length allowed re error while submitting for hey guys some extra errors noticed apart original ones sent you helps your investigation thanks sent december error while submitting for hi kindly ask you request because we need have timecards introduced order send client thank you for understanding sent monday december error while submitting for hi experiencing error when trying submit for period can you guys give help out attached some with errors getting cheers senior developer en,HR Support
issues with external network there any issues with external our cannot connect travelling neither via nor without can send but calls have tried different networks places usually work can you please check thanks,Hardware
unable to access snow getting redirected to the self service portal unable access snow getting redirected self portal previously closed incidents issue still ongoing saying still unable access module,Miscellaneous
oracle problems problems hi guys need help cannot connect using password authentication failed would appreciate any help thanks,Hardware
oracle error error dear please below some errors with have submit or button receive error for mentioned code though unable find any task can you please advise how fix best regards kind regards infrastructure manager,HR Support
time cards failure cards failure hello could you please help or advise submit cards have tried submit them saturday until today but with result keeps loading please screen below have tried with browsers like chrome edge different computers thanks engineer en,HR Support
cannot log eel cannot log eel hello seems have problem with eel enter same credentials enter when pc but keep getting errors can you please help with entered pass shows error case you need more info about problem,Hardware
snow issue snow issue hello unable find open valid incidents let take example although happens with other incidents well can only task incident but cannot search open incident itself for more accurate description attached how behaves how should behave should part colleague screen grab how should be when appeared today please advise thank you monitoring engineer ops,Miscellaneous
delivery failure to re failure dear followed instructions your but unfortunately still experiences same problem wondered if you can help solve please thanks,Hardware
connection issues connection issues hello employees experiencing issues every morning for short period yesterday machines were stuck with status unauthenticated were unable access resources etc noticed log these machines were denied access via wireless with error credentials available package longer have access logs therefore unable check status for today please escalate incident appropriate let know if can help with investigation kind regards engineer ext en,Hardware
time entry error oracle entry error hi tried enter made mistake december tried change but got following message you can create card only between start date end date dec cannot sheet for last week please can you help kind regards head,HR Support
critical alert sent tuesday december critical alert following alert occurred status active description tape failed failed perform operation since tape free tape available tape library based for more information open administrator console review alert details monitoring task area,HR Support
battery on en laptop broke suddenly battery en laptop broke suddenly hi based have using laptop inventory en since today laptop battery seems have failed completely out sudden if remove charger connector leaving laptop run battery laptop shuts down immediately even if battery charging percentage widows had laptop connected charger throughout if try start up laptop with charger disconnected won start looks like battery drained please could you look into makes laptop use extremely thanks regards senior manager,Hardware
sales printer down sales printer down dear please log ticket assign for fixing sales printer was appearing thanks kind regards engineer en,Miscellaneous
difficulties to add member to list difficulties add member list hi got some difficulties adding member please help with thanks senior engineer en,Miscellaneous
cannot submit timecard cannot submit timecard hi cannot submit timecard can you please review senior tester,HR Support
lost access card lost access card hello our colleague lost his card can you please deactivate can you please help with activation one thank you much manager,Access
contract upload issue bug hello looks like we cannot upload contract can you please check below contract id thanks commercial adviser old broad street en,Hardware
hardware upgrade hardware upgrade hi since have only or unable run desired stack client locally docker tight schedule christmas please can have machine updated asap cheers developer,Administrative rights
unable to submit time sheet unable submit sheet hi currently unable submit sheet for whenever click submit freezes after while get gateway timeout can you please help with submission form thanks design lead,HR Support
badge lost badge lost hi have lost badge can you help with problem please thank you,Access
problem on making voice calls with for problem making voice calls with for hi guys almost week since have problems with voice call for can you please help out with diagnosing problem thanks manager,Hardware
headset issues headset issues hi starter package along with laptop received headset model headset detected automatically tried downloading latest driver official site latest driver there for tried several different ways installing driver noted here with success forum hardware matter what try always get situation device manager sound control panel please advise further actions or please provide with different model headset best regards,Hardware
re outlook issues shared mailboxes re issues shared mailboxes hi thanks for your solving matter also sorry for late preparing enter into maternity leave therefore there need having solved for but please stay touch with because she had same issue for her necessary be solved accordingly best regards,Storage
connection connection hi connection acting up again can you please have look thank you pinging stingray with bytes data bytes bytes bytes bytes bytes bytes bytes bytes bytes bytes bytes bytes bytes bytes request timed out bytes bytes bytes bytes bytes bytes bytes bytes bytes bytes bytes,Hardware
permission to make changes required admin leaver access cannot be removed re permission make changes required notes hi afraid write access enough need move files other folders old documentation we can have updated documentation for design testing thanks tester,Storage
booking rooms issue booking rooms hi we have issue reserving rooms re occurring meetings sorry but very frustrating since we have chased out meeting room by another reserved room last week re occurring meeting was scheduled months ago please investigate since causing issues thanks software tester,Hardware
cannot remove hour duplication on th of november re can remove hour duplications th november hi could you please assist with below query his card error status thank you assistant sent monday december can remove hour duplications th november hi cannot remove added extra hours th november reported please could you help thanks,HR Support
re original cables price any these space plus plus space se sent monday december re original cables price hi please advise for you need them kind regards administrator sent monday december original cables price dear we would like order more original charging transfer data cables could you please let know current price thank you sent monday october original cables price dear could you please let know price for original charging transfer data cables thank you,Hardware
annual leave request approval issue hi could you please help with issue line have received days she submitted annual leave for approval december absence leave request does appear however if run absence report can she those days submitted can you please help find request assign thank you manager,HR Support
error while submitting for error while submitting for hi experiencing error when trying submit for period can you guys give help out attached some with errors getting cheers senior developer en,HR Support
windows upgrade missing option from sc update option hi wanted start update procedure today apologize for being late but upgrade option was follow steps machine policy retrieval for some error codes returned when users try upgrade action might be fix go control panel select configuration manager then actions tab select machine policy retrieval evaluation cycle hit run after minutes please restart machine but after restarting machine software center cannot be started can you please advise for how upgrade thanks developer en,Administrative rights
please action submit your time cards for approval please action submit your cards for approval hi have tried delete sheet for week between th th november but possible because status error therefore could you please delete entries for week november can add one thanks manager sent please action submit your cards for approval dear you receiving because you have cards haven submitted for approval please note enough only enter your but also make you submit your for approval take corrective actions case your submitted card gets rejected below breakdown your submitted cards please submit for approval your accordingly possible country submitted cards card status error total submitted cards submitted cards statuses explained error usually happens when you log calendar view for period longer than days then delete one entry causes timecard switch error fix you should add back for deleted or delete entire timecard using right hand side menu recreate again rejected card was rejected by one approvers please correct card entries accordingly resubmit entered status timecard when only one or few days entire timecard have entered saved cards status passed entered validation but gone next submission step for any card issues you can resolve please wait but raise corresponding incident through portal for resolutions,HR Support
windows upgrade insufficient drive disk space drive disk space hi have had response forced installs due start friday last week with client th th dec need some input what can free space before forced install machine becomes unusable since last message space reduced available thanks sent november drive disk space hi have moved files can move drive machine documents downloads folder drive but only have space after moving files required regards en,Administrative rights
pc damaged pc damaged hello have some issues with laptop keyboard ports working properly laptop be sent please create ticket assigned have already talked with him thanks,Hardware
please action submit your time cards for approval please action submit your cards for approval hello keep getting error for sheet can you instruct how solve kind regards engineer ext sent monday december please action submit your cards for approval dear you receiving because you have cards haven submitted for approval please note enough only enter your but also make you submit your for approval take corrective actions case your submitted card gets rejected below breakdown your submitted cards please submit for approval your accordingly possible country submitted cards card status entered total submitted cards submitted cards statuses explained error usually happens when you log calendar view for period longer than days then delete one entry causes timecard switch error fix you should add back for deleted or delete entire timecard using right hand side menu recreate again rejected card was rejected by one approvers please correct card entries accordingly resubmit entered status timecard when only one or few days entire timecard have entered saved cards status passed entered validation but gone next submission step for any card issues you can resolve please wait but raise corresponding incident through portal for resolutions,HR Support
mapping for after windows upgrade re mapping for after upgrade hello please assist issue below thank you kind regards infrastructure manager sent monday december mapping for after upgrade hi made upgrade week ago have mapped disk where backed up documents possible map location back please let know kind regards defect manager,Administrative rights
permissions permissions hi cannot permanent links for locations for following cities example could you please give rights again thank you communication specialist,Hardware
error oracle error hi can enter hours get following error can you please delete for thanks technical consultant ext your zone,HR Support
timecard error please action submit your cards for approval hello looks like cannot submit recent please attached thank you sent december please action submit your cards for approval dear you receiving because you have cards haven submitted for approval please note enough only enter your but also make you submit your for approval take corrective actions case your submitted card gets rejected below breakdown your submitted cards please submit for approval your accordingly possible country submitted cards card status entered total submitted cards submitted cards statuses explained error usually happens when you log calendar view for period longer than days then delete one entry causes timecard switch error fix you should add back for deleted or delete entire timecard using right hand side menu recreate again rejected card was rejected by one approvers please correct card entries accordingly resubmit entered status timecard when only one or few days entire timecard have entered saved cards status passed entered validation but gone next submission step for any card issues you can resolve please wait but raise corresponding incident through portal for resolutions,HR Support
not working today working today hi guys work last today morning there any issues with thanks officer,Administrative rights
for issues setup issues for hello please check subscription seems can initialize also another problem fact can log into for can you please check if everything thank you,Hardware
access on payroll re access dear below request regarding changing permission for access below folder was for can also permission have changed access please help with full access write payroll thanks ledger accountant,Storage
oracle issue issue hello trying submit but always get error timeout error there something can about thank you,HR Support
mobile phone issue mobile phone issue hi mobile phone stopped working when turn head sound but screen remains black have tried button for minute leaving battery out overnight re card but seems be dead galaxy mini tomorrow if anyone available take look or swap handset for regards infrastructure consultant,Hardware
oracle problem status error problem status error hi guys having some problems with week error can remove hours days can you please have look into thanks senior software architect en,HR Support
oracle error error hi can submit get error after loading minutes,HR Support
outlook out of setup not working out setup working trying setup out get error while,Administrative rights
oracle submission issue submission issue dear could you help for know public holidays automatically added receive error saying regards developer en,HR Support
time card re please action submit your cards for approval hi adding assist timecard error kind regards manager sent monday december re please action submit your cards for approval hi received you maybe you missed one still have problem with error status without having option delete or week need help person have privilege fix problem thanks sent monday november re please action submit your cards for approval hi including for help regards administrator sent please action submit your cards for approval hi explanation about error status but field where previously delete working set leave completed cannot delete again what writes explanation can someone help whit problem there timecard regards sent monday november please action submit your cards for approval dear you receiving because you have cards haven submitted for approval please note enough only enter your but also make you submit your for approval take corrective actions case your submitted card gets rejected below breakdown your submitted cards please submit for approval your accordingly possible country submitted cards card status error total submitted cards submitted cards statuses explained error usually happens when you log calendar view for period longer than days then delete one entry causes timecard switch error fix you should add back for deleted or delete entire timecard using right hand side menu recreate again rejected card was rejected by one approvers please correct card entries accordingly resubmit entered status timecard when only one or few days entire timecard have entered saved cards status passed entered validation but gone next submission step for any card issues you can resolve please wait but raise corresponding incident through portal for resolutions,HR Support
error oracle status error status hi tried modify something timecard for last week have status error can anyone help with issue thank you senior tester,HR Support
access badge not working properly access badge working properly hello today working after maternity leave encountering issues with access badge can leave floor but cannot enter again same behavior for other floors need special access restricted floor thank you senior developer mob,Hardware
update update hi should list but currently assigned can you please check thank you test consultant,Hardware
re incident has been assigned to am re incident assigned hi could you please assist with below please log ticket for thanks engineer en,Miscellaneous
issues re password reset for hi still cannot she tried with using provided password but she got error message incorrect or password please advise,Access
visual studio expired license re visual studio hi guys can you take look best regards engineer ext en sent monday december visual studio server tools visual studio visual studio ca trial period automata,Access
cannot submit time cards cannot submit cards hi when submitting timecards for last week get following message cannot submit timecards tried using chrome edge same issue for cases sometimes throw error but keeps loading nothing happens thanks developer,HR Support
error time card not able to delete it error card able delete dear once again have got error card unfortunately able delete could you please favor thank you,HR Support
oracle error error hello have problem with can submit card please below kind regards tester,HR Support
adapter hi once again writing need type adapter for laptop order monitor with regards,Hardware
oracle time row error row error hi have row with error status for following period can you please help by deleting row unable delete thank you,HR Support
monitor not working monitor working merge ca,Hardware
users to the network users hello some users experiencing issues with authenticating domain related renaming assets was done recently multiple machines had be rejoined domain en en en could you please open ticket for issue assign kind regards engineer ext en,Hardware
timecard daily totals issue timecard daily totals issue hello please find related card logging when you add additional task enter hours then hours displayed incorrectly thank you tester,HR Support
issues accessing mail issues accessing dear please note our colleague denmark issues accessing his could you please advise help him restore access please use his address well communication until issue sorted best regards director,Hardware
password reset thompson your password expire days hi if was already requested by one colleagues was off entire last week please could you help with below regards sent tuesday november your password expire days importance high hi would you be able sort password out please thanks thompson consultant po old street liverpool en thompson sent november your password expire days importance high dear your password expire days change your password pc press ctrl alt delete choose change password thanks ext message originated please detailed disclaimer below following message automatically added by gateway comply with requirement arrived via you should be cautious about origin content replies contain sensitive information or contractual obligations particularly vulnerable these cases you should unless you adequate encryption employed if you have any questions please speak your desktop or contact please consider environment before printing proud be responsible corporate responsibility registered wales st court chart way west rh by regulation authority regulated by conduct authority regulation authority for your protection telephone calls be recorded monitored information confidential be copied or used only by intended if you have received error please contact immediately by returning please delete disclose any contents anyone responsibility accepted for loss or damage arising viruses or changes made message after was sent,Access
connection sharing issue connection sharing issue hello working virtual machine due have access client environment shared suddenly after update connection was stop working affecting could you please assist resolve issue asap thanks regards consultant,Hardware
remote connection problem remote connection problem hello cannot connect remote desktop please mention if you need any other information for problem with kind regards,Hardware
delete oracle time submission for this week delete submission for week hi can you delete submission for week hit some kind error can delete or them thanks,HR Support
account locked locked hi colleague her locked with following message reference currently locked out can you please help her with thanks,Access
critical alerts notifications following alert occurred status active description tape failed failed perform operation since tape free tape available tape library based for more information open administrator console review alert details monitoring task area,HR Support
performance issues and problem management performance issues problem hi trying send external keep getting failures have attempted times get same error please can you look into advise client senior stakeholder needs be sent regards sent december undeliverable performance issues problem failed these or groups problem occurred while delivering message address try sending message again if problem continues please contact your following organization rejected your message diagnostic information for administrators generating server remote server returned known attempts original message headers authentication results pass pass postmaster received pass domain designates permitted identity client receiver envelope only record type received pass domain postmaster designates permitted identity client receiver envelope postmaster only record type reputation external by with dec return path tracker hi mf msg ref server tower originating version banners checked by server tower with encrypted dec with server id dec with id dec performance issues problem thread topic performance issues problem thread index date dec message id accept language en en content language en attach transport hosted originating content type text plain mime version,Hardware
oracle error error hi please help with entered wrong for week th error can anything with neither nor delete nor submit please fix or send direction how fix thank you analyst en,HR Support
idea license issue idea license issue dear idea license disabled when work would like know how fix best regards intern,Access
unable to access resources re access for hi cannot connect could you please help with issue please attached with details thank you kind regards tester,Hardware
investigate external calls re redirect calls hello today have received again external call have called told was calling next number after talked stationed phone assigned could you please have look,Hardware
expense upload expense upload hi uploaded weeks mobile app approx expense lines when check fusion only items visible could someone please review let know where line items obviously these were accrued couple weeks ago still have receipts if upload failed expense details lost any help you can provide would be greatly appreciated thanks technical programme manager id canary,Hardware
manager changed issue manager changed issue dear have some problems with received with confirmation manager changed but haven found changes please assign thanks engineer,Miscellaneous
project code missing code hi guys joiner we trying complete her we tried search some usual codes including bench one she supposed file bench but seems like available option can you please provide suggestions friday we should today thank you software tester,Internal Project
second display issue second display issue hi have weird behavior when having displays when idle for more than mins get black screen with visible cursor moving only after plugging off monitor port able something laptop display could you look issue please,Hardware
links issue links issue hi guys when try click some links get following message could you take look please,Hardware
laptop stuck boot loop after win upgrade laptop stuck boot loop after win upgrade dear please log ticket assign for troubleshooting her laptop stuck boot loop after win upgrade complete successfully thank you kind regards engineer en,Administrative rights
locked account locked hi can log into his message shown referenced currently locked out be logged can you please look into issue thanks br software developer,Access
ticket has breached field sn ticket breached field sn hello guys could you please open ticket check for tickets something seems off example please below also if had take calculated guess would say made field taking response rather actual thanks kind regards incident manager,Miscellaneous
oracle timecards approvers timecards approvers hi we facing issue where current manager although end date updated still receiving timecards for members anymore part could you advise if there way how manager can receive timecards only current members example code thank you officer en,HR Support
monthly disk report on original message sent friday december monthly disk report dear following your monthly report regarding disks you can also check individual disks manager info disk disk count bad sector count disk re identification count estimated lifespan disk disk count bad sector count disk re identification count estimated lifespan disk disk count bad sector count disk re identification count estimated lifespan disk disk count bad sector count disk re identification count estimated lifespan disk disk count bad sector count disk re identification count estimated lifespan disk disk count bad sector count disk re identification count estimated lifespan disk disk count bad sector count disk re identification count estimated lifespan disk disk count bad sector count disk re identification count estimated lifespan disk disk count bad sector count disk re identification count estimated lifespan disk disk count bad sector count disk re identification count estimated lifespan sincerely,Hardware
pas slow slow incredibly slow manager,Hardware
oracle entry error entry error hi getting following error week can you please resolve asap regards infrastructure programme manager upcoming leave th december,HR Support
permission to send com permission send hello trying send monthly but would appear have lost permission send haven had issue past when sending managed could please get permission back send thanks head managed,Administrative rights
unable to log into oracle unable log into when try logging into after select sign using sign redirects attached checked browser locally cleared cache cookies ie chrome checked ad password expired please help kind regards,Hardware
time card error card error hi have card for period card period witch error tried solve issue with error usually happens when you log calendar view for period longer than days then delete one entry causes timecard switch error fix you should add back for deleted or delete entire timecard using right hand side menu recreate again but does work can help best regards,HR Support
windows upgrade upgrade dear after upgrading able connect via have attached logs app can you please help thanks senior software developer,Administrative rights
re incident oracle time approval option has been assigned to am oracle hr support re incident approval option assigned hi please rise another ticket for issue thank you best regards engineer en,Miscellaneous
connection issues problems dear experiencing issues very slow freezing especially yesterday today might be problem with our side could you please have look let know whether can be solved thank you,Hardware
windows upgrade error upgrade dear receiving error during upgrade could you please help thanks senior software developer,Administrative rights
approval notifications approval hi can you your take look please would really like understand why being triggered submission can you raise ticket please assign thanks sent november approval illustrate remark made by yesterday about flood notification attached yesterday evening corrected hours two days his timecard last week card again one arrived between only one task approve again logical if one timecard leads only with weeks per month total lot traffic relevant think some improvement would be appreciated kind regards programme manager,Miscellaneous
bit locker locked resolved bit locker locked resolved after delete install got bit locker boot locked was resolved by our opening ticked retroactively,Access
locked pc locked pc hello had problem with laptop received message lock re enter again password once logged out was longer able use machine since password was accepted requested temporary our help things seem be okay what caused problem though since did anything more different than usual wanted let you know regards technical recruiter,Access
windows restarts win restarts hi need your advice following attached image shows what constantly happening laptop after upgraded win also experience frequent restarts middle working without any obvious reason please note nothing had happened before upgrade behavior noticed any too after upgrading thanks sent device,Hardware
mailbox full your mailbox almost full dear could you please help with deleted but help thank you date thursday november your mailbox almost full your mailbox almost full mb mb current size maximum size please reduce your mailbox size delete any items you need your mailbox empty your deleted items folder,Storage
